#,Initial Ideas,Original Source,Standardized Ideas,Web Source,Notes,
1,You shall have no other gods before me.,10 Commandments,Do Not Worship Other Gods,,,
2,You shall not make for yourself an image in the form of anything in heaven above or on the earth beneath or in the waters below.,10 Commandments,Do Not Make Graven Images,,,
3,"You shall not misuse the name of the Lord your God, for the Lord will not hold anyone guiltless who misuse his name.",10 Commandments,Do Not Misuse God’s Name,,,
4,Remember the Sabbath day by keeping it holy.,10 Commandments,Take One Day Off Per Week,,,
5,"Honor your father and your mother, so that they may live long in the land the Lord your God is giving you.",10 Commandments,Respect Your Parents,,,
6,You shall not murder.,10 Commandments,Do Not Murder,,,
7,You shall not commit adultery.,10 Commandments,Do Not Commit Adultery,,,
8,You shall not steal.,10 Commandments,Do Not Steal,,,
9,You shall not give false testimony against your neighbor.,10 Commandments,Do Not Lie,,,
10,"You shall not covet your neighbor’s house. You shall not covet your neighbor’s wife, or his male or female servant, his ox or donkey, or anything that belongs to your neighbor.",10 Commandments,Do Not Covet,,,
11,Critical Thinking,10 Commitments,Think Before You Act,,,
12,Ethical Development,10 Commitments,Ethical Development,,,
13,Peace & Social Justice,10 Commitments,Peace & Social Justice,,,
14,Service & Participation,10 Commitments,Service & Participation,,,
15,Altruism,10 Commitments,Think of Others,,,
16,Humility,10 Commitments,Be Humble,,,
17,Environmentalism,10 Commitments,Be a Good Ancestor,,,
18,Global Awareness,10 Commitments,Be a Good Neighbor,,,
19,Responsibility,10 Commitments,Be Responsible for Your Own Actions,,,
20,Empathy,10 Commitments,Be Empathetic,,,
21,Refrain from Killing,5 Precepts,Do Not Kill,,,
22,Refrain From Taking Things Not Given,5 Precepts,Do Not Steal,,,
23,Refrain From Sexual Misconduct,5 Precepts,Consent Required for Sexual Relations,,,
24,Refrain From Lying,5 Precepts,Do Not Lie,,,
25,Refrain From Taking Intoxicants,5 Precepts,Do Not Consume Alcohol/Drugs,,,
26,Do Not Swear,Seven Pillars,Do Not Swear,,,
