#,Player Level Requirement,Group,Pledge,Notes
1,Registered,The Golden Rule Group,I pledge to live by the Golden Rule: do unto others as I would have them do unto me.,N/A
2,Supporter,Ethics Pledge Group,I pledge to live in accordance with The Pillars Core Values.,N/A
3,Supporter,Ethics Pledge Group,I pledge to live in accordance with the Top 10 Morals.,N/A
4,Sustainer,Sustainability Pledge Group,"I pledge to Reduce, Re-use, Recycle and Compost.",N/A
5,Sustainer,Sustainability Pledge Group,I pledge to be a good ancestor.,N/A
6,Sustainer,Sustainability Pledge Group,"I pledge to grow a small (or as large as I can) flower, herb or vegetable garden; orchard; farm; or preserve.",N/A
7,Sustainer,Sustainability Pledge Group,I pledge to eat less meat or become a vegetarian.,"Eat less meat example: Meatless Mondays, 1 Meatless Month/Year"
8,Partner,Charity Pledge Group,I pledge to assist my family and the village that raised me more than I thought I could.,Volunteer if you never have. Step up volunteering effort if already an avid volunteer.
9,Partner,Charity Pledge Group,"I pledge to be kind, especially to myself and those I love.",N/A
10,Partner,Charity Pledge Group,"I pledge to donate time, skill-set or money annually to the Seven Pillars.",N/A
11,Partner,The Natural Born Citizen Pledge Group,"I hereby pledge that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion.",The same pledge new USA citizens make without reference to God. This is specifically for naturally born citizens that never had to make said pledge.
