#,Character Attributes,Character Attributes Sort Order,Pillar,Pillar Order
1,Agile,1,Physical,1
2,Balance,2,Physical,1
3,Dexterous,3,Physical,1
4,Endurance,4,Physical,1
5,Fast,5,Physical,1
6,Flexible,6,Physical,1
7,Strong,7,Physical,1
8,Courage,8,Mental,2
9,Focus,9,Mental,2
10,Intelligence,10,Mental,2
11,Intuition,11,Mental,2
12,Memory,12,Mental,2
13,Organized,13,Mental,2
14,Self Control,14,Mental,2
15,Assertive,15,Social,3
16,Collaborative,16,Social,3
17,Communicative,17,Social,3
18,Empathetic,18,Social,3
19,Friendly,19,Social,3
20,Humorous,20,Social,3
21,Sincere,21,Social,3
22,Creativity,22,Artistic,4
23,Dedication,23,Artistic,4
24,Independence,24,Artistic,4
25,Passion,25,Artistic,4
26,Perseverance,26,Artistic,4
27,Playfullness,27,Artistic,4
28,Sensitivity,28,Artistic,4
29,Forgiving,29,Spiritual,5
30,Gracious,30,Spiritual,5
31,Hopeful,31,Spiritual,5
32,Humble,32,Spiritual,5
33,Integral,33,Spiritual,5
34,Patient,34,Spiritual,5
35,Wise,35,Spiritual,5
36,Analytical,36,Philosophical,6
37,Curious,37,Philosophical,6
38,Intellectual Honesty,38,Philosophical,6
39,Logical,39,Philosophical,6
40,Open-Minded,40,Philosophical,6
41,Systematic,41,Philosophical,6
42,Wisdom,42,Philosophical,6
43,Critical-Thinking,43,Scientific,7
44,Experimental,44,Scientific,7
45,Objective,45,Scientific,7
46,Precise,46,Scientific,7
47,Predictable,47,Scientific,7
48,Reliable,48,Scientific,7
49,Verifiable,49,Scientific,7
