#,Pillar,Pillar Order,First Principle,Sort Order
1,Physical,1,Birth//Death,1
2,Physical,1,Sustenance,2
3,Physical,1,Fitness,3
4,Physical,1,Recovery,4
5,Mental,2,Sleep,5
6,Mental,2,Emotions,6
7,Mental,2,Meditation,7
8,Mental,2,The Three “Rs”,8
9,Social,3,Games,9
10,Social,3,Family,10
11,Social,3,Charity,11
12,Social,3,Culture,12
13,Artistic,4,Human Creative Process,13
14,Spiritual,5,Ritual,14
15,Spiritual,5,Communion,15
16,Spiritual,5,Purpose,16
17,Spiritual,5,Wisdom,17
18,Philosophical,6,Ethics,18
19,Philosophical,6,Politics,19
20,Philosophical,6,History of Phlosophy,20
21,Philosophical,6,Philosophy of Science,21
22,Scientific,7,Evolution,22
23,Scientific,7,History,23
24,Scientific,7,Psychology,24
25,Scientific,7,Economics,25
